"PRODUCT_ID","LANGUAGE_ID","TRANSLATED_NAME","TRANSLATED_DESCRIPTION"
3359,"US","SDRAM - 16 MB","SDRAM memory upgrade module, 16 MB. Synchronous Dynamic Random Access Memory was introduced after EDO. Its architecture and operation are based on those of the standard DRAM, but SDRAM provides a revolutionary change to main memory that further reduces data retrieval times. SDRAM is synchronized to the system clock that controls the CPU. This means that the system clock controlling the functions of the microprocessor also controls the SDRAM functions. This enables the memory controller to know on which clock cycle a data request will be ready, and therefore eliminates timing delays."
3088,"US","SDRAM - 32 MB","SDRAM module with ECC - 32 MB capacity. SDRAM has multiple memory banks that can work simultaneously. Switching between banks allows for a continuous data flow."
2276,"US","SDRAM - 48 MB","Memory SIMM: RAM - 48 MB. SDRAM can operate in burst mode. In burst mode, when a single data address is accessed, an entire block of data is retrieved rather than just the one piece. The assumption is that the next piece of data that will be requested will be sequential to the previous. Since this is usually the case, data is held readily available."
3086,"US","VRAM - 16 MB","Citrus Video RAM module - 16 MB capacity. VRAM is used by the video system in a computer to store video information and is reserved exclusively for video operations. It was developed to provide continuous streams of serial data for refreshing video screens."
3091,"US","VRAM - 64 MB","Citrus Video RAM memory module - 64 MB capacity. Physically, VRAM looks just like DRAM with added hardware called a shift register. The special feature of VRAM is that it can transfer one entire row of data (up to 256 bits) into this shift register in a single clock cycle. This ability significantly reduces retrieval time, since the number of fetches is reduced from a possible 256 to a single fetch. The main benefit of having a shift register available for data dumps is that it frees the CPU to refresh the screen rather than retrieve data, thereby doubling the data bandwidth. For this reason, VRAM is often referred to as being dual-ported. However, the shift register will only be used when the VRAM chip is given special instructions to do so. The command to use the shift register is built into the graphics controller."
1787,"US","CPU D300","Dual CPU @ 300Mhz. For light personal processing only, or file servers with less than 5 concurrent users. This product will probably become obsolete soon."
2439,"US","CPU D400","Dual CPU @ 400Mhz. Good price/performance ratio; for mid-size LAN file servers (up to 100 concurrent users)."
1788,"US","CPU D600","Dual CPU @ 600Mhz. State of the art, high clock speed; for heavy load WAN servers (up to 200 concurrent users)."
2375,"US","GP 1024x768","Graphics Processor, resolution 1024 X 768 pixels. Outstanding price/performance for 2D and 3D applications under SPNIX v3.3 and v4.0. Double your viewing power by running two monitors from this single card. Two 17 inch monitors have more screen area than one 21 inch monitor. Excellent option for users that multi-task frequently or access data from multiple sources often."
2411,"US","GP 1280x1024","Graphics Processor, resolution 1280 X 1024 pixels. High end 3D performance at a mid range price: 15 million Gouraud shaded triangles per second, Optimized 3D drivers for MCAD and DCC applications, with user-customizable settings. 64MB DDR SDRAM unified frame buffer supporting true color at all supported standard resolutions."
1726,"US","LCD Monitor 11/PM","Liquid Cristal Display 11 inch passive monitor. The virtually-flat, high-resolution screen delivers outstanding image quality with reduced glare."
2359,"US","LCD Monitor 9/PM","Liquid Cristal Display 9 inch passive monitor. Enjoy the productivity that a small monitor can bring via more workspace on your desk. Easy setup with plug-and-play compatibility."
3060,"US","Monitor 17/HR","CRT Monitor 17 inch (16 viewable) high resolution. Exceptional image performance and the benefit of additional screen space. This monitor offers sharp, color-rich monitor performance at an incredible value. With a host of leading features, including on-screen display controls."
2243,"US","Monitor 17/HR/F","Monitor 17 inch (16 viewable) high resolution, flat screen. High density photon gun with Enhanced Elliptical Correction System for more consistent, accurate focus across the screen, even in the corners."
3057,"US","Monitor 17/SD","CRT Monitor 17 inch (16 viewable) short depth. Delivers outstanding image clarity and precision. Gives professional color, technical engineering, and visualization/animation users the color fidelity they demand, plus a large desktop for enhanced productivity."
3061,"US","Monitor 19/SD","CRT Monitor 19 inch (18 viewable) short depth. High-contrast black screen coating: produces superior contrast and grayscale performance. The newly designed, amplified professional speakers with dynamic bass response bring all of your multimedia audio experiences to life with crisp, true-to-life sound and rich, deep bass tones. Plus, color-coded cables, simple plug-and-play setup and digital on-screen controls mean you are ready to set your sights on outrageous multimedia and the incredible Internet in just minutes."
2245,"US","Monitor 19/SD/M","Monitor 19 (18 Viewable) short depth, Monochrome. Outstanding image performance in a compact design. A simple, on-screen dislay menu helps you easily adjust screen dimensions, colors and image attributes. Just plug your monitor into your PC and you are ready to go."
3065,"US","Monitor 21/D","CRT Monitor 21 inch (20 viewable). Digital OptiScan technology: supports resolutions up to 1600 x 1200 at 75Hz. Dimensions (HxWxD): 8.3 x 18.5 x 15 inch. The detachable or attachable monitor-powered Platinum Series speakers offer crisp sound and the convenience of a digital audio player jack. Just plug in your digital audio player and listen to tunes without powering up your PC."
3331,"US","Monitor 21/HR","21 inch monitor (20 inch viewable) high resolution. This monitor is ideal for business, desktop publishing, and graphics-intensive applications. Enjoy the productivity that a large monitor can bring via more workspace for running applications."
2252,"US","Monitor 21/HR/M","Monitor 21 inch (20 viewable) high resolution, monochrome. Unit size: 35.6 x 29.6 x 33.3 cm (14.6 kg) Package: 40.53 x 31.24 x 35.39 cm (16.5 kg). Horizontal frequency 31.5 - 54 kHz, Vertical frequency 50 - 120 Hz. Universal power supply 90 - 132 V, 50 - 60 Hz."
3064,"US","Monitor 21/SD","Monitor 21 inch (20 viewable) short depth. Features include a 0.25-0.28 Aperture Grille Pitch, resolution support up to 1920 x 1200 at 76Hz, on-screen displays, and a conductive anti-reflective film coating."
3155,"US","Monitor Hinge - HD","Monitor Hinge, heavy duty, maximum monitor weight 30 kg"
3234,"US","Monitor Hinge - STD","Standard Monitor Hinge, maximum monitor weight 10 kg"
3350,"US","Plasma Monitor 10/LE/VGA","10 inch low energy plasma monitor, VGA resolution"
2236,"US","Plasma Monitor 10/TFT/XGA","10 inch TFT XGA flatscreen monitor for laptop computers"
3054,"US","Plasma Monitor 10/XGA","10 inch standard plasma monitor, XGA resolution. This virtually-flat, high-resolution screen delivers outstanding image quality with reduced glare."
1782,"US","Compact 400/DQ","400 characters per second high-speed draft printer. Dimensions (HxWxD): 17.34 x 24.26 x 26.32 inch. Interface: RS-232 serial (9-pin), no expansion slots. Paper size: A4, US Letter."
2430,"US","Compact 400/LQ","400 characters per second high-speed letter-quality printer. Dimensions (HxWxD): 12.37 x 27.96 x 23.92 inch. Interface: RS-232 serial (25-pin), 3 expansion slots. Paper size: A2, A3, A4."
1792,"US","Industrial 600/DQ","Wide carriage color capability 600 characters per second high-speed draft printer. Dimensions (HxWxD): 22.31 x 25.73 x 20.12 inch. Paper size: 3x5 inch to 11x17 inch full bleed wide format."
1791,"US","Industrial 700/HD","700 characters per second dot-matrix printer with harder body and dust protection for industrial uses. Interface: Centronics parallel, IEEE 1284 compliant. Paper size: 3x5 inch to 11x17 inch full bleed wide format. Memory: 4MB. Dimensions (HxWxD): 9.3 x 16.5 x 13 inch."
2302,"US","Inkjet B/6","Inkjet Printer, black and white, 6 pages per minute, resolution 600x300 dpi. Interface: Centronics parallel, IEEE 1284 compliant. Dimensions (HxWxD): 7.3 x 17.5 x 14 inch. Paper size: A3, A4, US legal. No expansion slots."
2453,"US","Inkjet C/4","Inkjet Printer, color (with two separate ink cartridges), 6 pages per minute black and white, 4 pages per minute color, resolution 600x300 dpi. Interface: Biodirectional IEEE 1284 compliant parallel interface and RS-232 serial (9-pin) interface 2 open EIO expansion slots. Memory: 8MB 96KB receiver buffer."
1797,"US","Inkjet C/8/HQ","Inkjet printer, color, 8 pages per minute, high resolution (photo quality). Memory: 16MB. Dimensions (HxWxD): 7.3 x 17.5 x 14 inch. Paper size: A4, US Letter, envelopes. Interface: Centronics parallel, IEEE 1284 compliant."
2459,"US","LaserPro 1200/8/BW","Professional black and white laserprinter, resolution 1200 dpi, 8 pages per second. Dimensions (HxWxD): 22.37 x 19.86 x 21.92 inch. Software: Enhanced driver support for SPNIX v4.0; MS-DOS Built-in printer drivers: ZoomSmart scaling technology, billboard, handout, mirror, watermark, print preview, quick sets, emulate laserprinter margins."
3127,"US","LaserPro 600/6/BW","Standard black and white laserprinter, resolution 600 dpi, 6 pages per second. Interface: Centronics parallel, IEEE 1284 compliant. Memory: 8MB 96KB receiver buffer. MS-DOS ToolBox utilities for SPNIX AutoCAM v.17 compatible driver."
2254,"US","HD 10GB /I","10GB capacity hard disk drive (internal). These drives are intended for use in today's demanding, data-critical enterprise environments and are ideal for use in RAID applications. Universal option kits are configured and pre-mounted in the appropriate hot plug tray for immediate installation into your corporate server or storage system."
3353,"US","HD 10GB /R","10GB Removable hard disk drive for 10GB Removable HD drive. Supra7 disk drives provide the latest technology to improve enterprise performance, increasing the maximum data transfer rate up to 160MB/s."
3069,"US","HD 10GB /S","10GB hard disk drive for Standard Mount. Backward compatible with Supra5 systems, users are free to deploy and re-deploy these drives to quickly deliver increased storage capacity. Supra drives eliminate the risk of firmware incompatibility."
2253,"US","HD 10GB @5400 /SE","10GB capacity hard disk drive (external) SCSI interface, 5400 RPM. Universal option kits are configured and pre-mounted in the appropriate hot plug tray for immediate installation into your corporate server or storage system. Supra drives eliminate the risk of firmware incompatibility."
3354,"US","HD 12GB /I","12GB capacity harddisk drive (internal). Supra drives eliminate the risk of firmware incompatibility. Backward compatibility: You can mix or match Supra2 and Supra3 devices for optimized solutions and future growth."
3072,"US","HD 12GB /N","12GB hard disk drive for Narrow Mount. Supra9 hot pluggable hard disk drives provide the ability to install or remove drives on-line. Our hot pluggable hard disk drives are required to meet our rigorous standards for reliability and performance."
3334,"US","HD 12GB /R","12GB Removable hard disk drive. With compatibility across many enterprise platforms, you are free to deploy and re-deploy this drive to quickly deliver increased storage capacity. Supra7 Universal disk drives are the second generation of high performance hot plug drives sharing compatibility across corporate servers and external storage enclosures."
3071,"US","HD 12GB /S","12GB hard disk drive for Standard Mount. Supra9 hot pluggable hard disk drives provide the ability to install or remove drives on-line. Our hot pluggable hard disk drives are required to meet our rigorous standards for reliability and performance."
2255,"US","HD 12GB @7200 /SE","12GB capacity hard disk drive (external) SCSI, 7200 RPM. These drives are intended for use in today's demanding, data-critical enterprise environments and can be used in RAID applications. Universal option kits are configured and pre-mounted in the appropriate hot plug tray for immediate installation into your corporate server or storage system."
1743,"US","HD 18.2GB @10000 /E","External hard drive disk - 18.2 GB, rated up to 10,000 RPM. These drives are intended for use in today's demanding, data-critical enterprise environments and are ideal for use in RAID applications."
2382,"US","HD 18.2GB@10000 /I","18.2 GB SCSI hard disk @ 10000 RPM (internal). Supra7 Universal disk drives provide an unequaled level of investment protection and simplification for customers by enabling drive compatibility across many enterprise platforms."
3399,"US","HD 18GB /SE","18GB SCSI external hard disk drive. Supra5 Universal hard disk drives provide the ability to hot plug between various servers, RAID arrays, and external storage shelves."
3073,"US","HD 6GB /I","6GB capacity hard disk drive (internal). Supra drives eliminate the risk of firmware incompatibility."
1768,"US","HD 8.2GB @5400","Hard drive disk - 8.2 GB, rated up to 5,400 RPM. Supra drives eliminate the risk of firmware incompatibility. Standard serial RS-232 interface."
2410,"US","HD 8.4GB @5400","8.4 GB hard disk @ 5400 RPM. Reduced cost of ownership: Drives can be utilized across enterprise platforms. This hot pluggable hard disk drive is required to meet your rigorous standards for reliability and performance."
2257,"US","HD 8GB /I","8GB capacity hard disk drive (internal). Supra9 hot pluggable hard disk drives provide the ability to install or remove drives on-line. Backward compatibility: You can mix Supra2 and Supra3 devices for optimized solutions and future growth."
3400,"US","HD 8GB /SE","8GB capacity SCSI hard disk drive (external). Supra7 disk drives provide the latest technology to improve enterprise performance, increasing the maximum data transfer rate up to 255MB/s."
3179,"US","Spreadsheet - SSS/S 2.1","SmartSpread Spreadsheet, Standard Edition Version 2.1, for SPNIX Release 4.0. Shrink wrap includes CD-ROM containing software and online documentation, plus printed manual and license registration."
3182,"US","Word Processing - SWP/V 4.5","SmartWord Word Processor, Professional Edition Version 4.5, for Vision Release 11.x. Shrink wrap includes CD-ROM, containing advanced software, printed manual, and license registration."
3183,"US","Word Processing - SWS/V 4.5","SmartWord Word Processor, Standard Edition Version 4.5, for Vision Release 11.x. Shrink wrap includes CD-ROM and license registration."
3197,"US","Spreadsheet - SSS/V 2.1","SmartSpread Spreadsheet, Standard Edition Version 2.1, for Vision Release 11.1 and 11.2. Shrink wrap includes CD-ROM containing software and online documentation, plus printed manual, tutorial, and license registration."
3255,"US","Spreadsheet - SSS/CD 2.2B","SmartSpread Spreadsheet, Standard Edition, Beta Version 2.2, for SPNIX Release 4.1. CD-ROM only."
3256,"US","Spreadsheet - SSS/V 2.0","SmartSpread Spreadsheet, Standard Edition Version 2.0, for Vision Release 11.0. Shrink wrap includes CD-ROM containing software and online documentation, plus printed manual, tutorial, and license registration."
3260,"US","Word Processing - SWP/S 4.4","SmartSpread Spreadsheet, Standard Edition Version 2.2, for SPNIX Release 4.x. Shrink wrap includes CD-ROM, containing software, plus printed manual and license registration."
3262,"US","Spreadsheet - SSS/S 2.2","SmartSpread Spreadsheet, Standard Edition Version 2.2, for SPNIX Release 4.1. Shrink wrap includes CD-ROM containing software and online documentation, plus printed manual and license registration."
3361,"US","Spreadsheet - SSP/S 1.5","SmartSpread Spreadsheet, Standard Edition Version 1.5, for SPNIX Release 3.3. Shrink wrap includes CD-ROM containing advanced software and online documentation, plus printed manual, tutorial, and license registration."
1799,"US","SPNIX3.3 - SL","Operating System Software: SPNIX V3.3 - Base Server License. Includes 10 general licenses for system administration, developers, or users. No network user licensing. "
1801,"US","SPNIX3.3 - AL","Operating System Software: SPNIX V3.3 - Additional system administrator license, including network access."
1803,"US","SPNIX3.3 - DL","Operating System Software: SPNIX V3.3 - Additional developer license."
1804,"US","SPNIX3.3 - UL/N","Operating System Software: SPNIX V3.3 - Additional user license with network access."
1805,"US","SPNIX3.3 - UL/A","Operating System Software: SPNIX V3.3 - Additional user license class A."
1806,"US","SPNIX3.3 - UL/C","Operating System Software: SPNIX V3.3 - Additional user license class C."
1808,"US","SPNIX3.3 - UL/D","Operating System Software: SPNIX V3.3 - Additional user license class D."
1820,"US","SPNIX3.3 - NL","Operating System Software: SPNIX V3.3 - Additional network access license."
1822,"US","SPNIX4.0 - SL","Operating System Software: SPNIX V4.0 - Base Server License. Includes 10 general licenses for system administration, developers, or users. No network user licensing. "
2422,"US","SPNIX4.0 - SAL","Operating System Software: SPNIX V4.0 - Additional system administrator license, including network access."
2452,"US","SPNIX4.0 - DL","Operating System Software: SPNIX V4.0 - Additional developer license."
2462,"US","SPNIX4.0 - UL/N","Operating System Software: SPNIX V4.0 - Additional user license with network access."
2464,"US","SPNIX4.0 - UL/A","Operating System Software: SPNIX V4.0 - Additional user license class A."
2467,"US","SPNIX4.0 - UL/D","Operating System Software: SPNIX V4.0 - Additional user license class D."
2468,"US","SPNIX4.0 - UL/C","Operating System Software: SPNIX V4.0 - Additional user license class C."
2470,"US","SPNIX4.0 - NL","Operating System Software: SPNIX V4.0 - Additional network access license."
3057,"AR","شاشة 17/SD","شاشة CRT 17 بوصة (16 بوصة قابلة للعرض) بعمق قصير. تعرض نقاء ودقة ممتازين للصورة. وتعطي لون عالي الجودة وهندسة فنية، وتعطي مستخدمي التصور/التحريك درجة اللون التي يحتاجونها، بالإضافة إلى سطح مكتب كبير لإنتاجية محسنة."
3061,"AR","شاشة 19/SD","شاشة CRT 19 بوصة (18 بوصة قابلة للعرض) بعمق قصير. طبقة شاشة خارجية سوداء عالية التباين: تُنتِج تباين وأداء تدرج الرمادي ممتازين. تضفي السماعات المصممة بشكل جديد والمكبرة ذات الجودة العالية مع استجابة الجهر الديناميكي الحياة لخبراتك مع الوسائط المتعددة بصوت واضح متناغم مع الأصوات الحياتية وطنين جهر عميق. بالإضافة إلى كابلات ذات رموز لونية وإعداد توصيل وتشغيل سهل وتحكم رقمي على الشاشة وذلك كله يعني أنك مستعد لرؤية وسائط متعددة وإنترنت خيالي في دقائق معدودة."
2245,"AR","شاشة 19/SD/M","شاشة 19(18 بوصة قابلة للعرض) قصيرة العمق، أحادية اللون. أداء ممتاز للصورة في تصميم مضغوط. قائمة عرض بسيطة على الشاشة تساعدك على تعديل أبعاد الشاشة وألوانها وسمات الصورة بسهولة. فقط قم بتوصيل شاشتك في الكمبيوتر وستكون جاهزاً للعمل."
3065,"AR","شاشة 21/D","شاشة CRT 21 بوصة (20 بوصة قابلة للعرض). تقنية OptiScan الرقمية: تدعم دقة حتى 1600× 1200 عند 75 هيرتز. وتكون أبعادها (الارتفاع × العرض × البعد): 8.3 x 18.5 x 15 بوصة. تقدم سماعات سلسلة Platinum القابلة للفصل والإرفاق والتي تستمد طاقتها من الشاشة صوت واضح وراحة يقدمها قابس مشغل الصوت الرقمي. فقط قم بتوصيل مشغل الصوت الرقمي واستمع إلى الألحان بدون تشغيل الكمبيوتر الشخصي."
3331,"AR","شاشة 21/HR","شاشة 21 بوصة (20 بوصة قابلة للعرض) ذات دقة عالية. هذه الشاشة مثالية للعمل ونشر سطح المكتب والتطبيقات ذات الرسوم الكثيفة. استمتع بالإنتاجية التي يمكن أن تجلبها هذه الشاشة الكبيرة من خلال مساحة أكبر للعمل لتشغيل التطبيقات."
2252,"AR","شاشة 21/HR/M","شاشة 21 بوصة (20 بوصة قابلة للعرض) ذات دقة عالية، أحادية اللون. حجم الوحدة: 35.6 x 29.6 x 33.3 سنتيمتر (14.6) الحزمة: 40.53 x 31.24 x 35.39 سنتيمتر (16.5 كيلو جرام). التردد الأفقي 31.5 - 54 كيلو هيرتز، التردد الرأسي 50 - 120 هيرتز. إمداد طاقة عالمي 90 - 132 V, 50 - 60 Hz."
3064,"AR","شاشة 21/SD","شاشة 21 بوصة (20 بوصة قابلة للعرض) ذات عمق قصير. تحتوي الخصائص على Aperture Grille Pitch، دعم للدقة حتى 1920×1200 عند 76 هيرتز، عناصر عرض على الشاشة، وغطاء فيلم خارجي توصيلي مضاد للانعكاس."
3155,"AR","مفصلة الشاشة - خدمة شاقة","مفصلة الشاشة، خدمة شاقة، أقصى وزن للشاشة 30 كيلو جرام"
3234,"AR","مفصلة الشاشة - STD","مفصلة شاشة قياسية أقصى وزن للشاشة 10 كيلو جرام"
3350,"AR","شاشة بلازما 10/LE/VGA","شاشة 10 بوصة منخفضة الطاقة بلازما، دقة VGA"
2236,"AR","شاشة بلازما 10/TFT/XGA","شاشة 10 بوصة TFT XGA شاشة مسطحة لأجهزة الكمبيوتر الصغيرة المحمولة"
3054,"AR","شاشة بلازما 10/XGA","شاشة 10 بوصة بلازما قياسية، عناصر شاشة XGA. تعرض هذه الشاشة المسطحة ذات الدقة العالية صورة ذات جودة ممتازة منخفضة التوهج."
1782,"AR","Compact 400/DQ","طابعة مسودة عالية السرعة بطاقة 400 حرف في الثانية. الأبعاد (الارتفاع × العرض × البعد): 17.34 x 24.26 x 26.32 بوصة. الواجهة: RS-232 تسلسلية (9 مسامير)، بدون فجوات إضافة. حجم الورق: A4 وUS Letter."
2430,"AR","Compact 400/LQ","طابعة عالية السرعة ذات جودة أحرف عالية بطاقة 400 حرف في الثانية. الأبعاد (الارتفاع × العرض × البعد): 12.37 x 27.96 x 23.92 بوصة. الواجهة: RS-232 تسلسلية (25 مسمار)، ثلاث فجوات إضافة. حجم الورقة: A2 وA3 وA4."
1792,"AR","Industrial 600/DQ","طابعة مسودة عالية السرعة ذات إمكانية لون الحرف العريض بطاقة 600 حرف في الثانية. الأبعاد (الارتفاع × العرض × البعد): 22.31 x 25.73 x 20.12 بوصة. حجم الورقة: 3x5 بوصة إلى 11x17 بوصة صيغة نصل كامل عريضة."
1791,"AR","Industrial 700/HD","طابعة نقطية بسرعة 700 حرف في الثانية ذات جسم أكثر صلابة وحماية ضد الأتربة للاستخدامات الصناعية. الواجهة: Centronics parallel، متوافقة مع IEEE 1284. حجم الورقة: 3×5 بوصة إلى 11×17 بوصة نسق نصل عريض كامل. الذاكرة: 4 ميجا بايت. الأبعاد (الارتفاع × العرض × الأبعاد): 9.3 x 16.5 x 13 بوصة."
2471,"US","SPNIX3.3 SU","Operating System Software: SPNIX V3.3 - Base Server License Upgrade to V4.0."
2492,"US","SPNIX3.3 AU","Operating System Software: SPNIX V3.3 - V4.0 upgrade; class A user."
2493,"US","SPNIX3.3 C/DU","Operating System Software: SPNIX V3.3 - V4.0 upgrade; class C or D user."
2494,"US","SPNIX3.3 NU","Operating System Software: SPNIX V3.3 - V4.0 upgrade; network access license."
2995,"US","SPNIX3.3 SAU","Operating System Software: SPNIX V3.3 - V4.0 upgrade; system administrator license."
3290,"US","SPNIX3.3 DU","Operating System Software: SPNIX V3.3 - V4.0 upgrade; developer license."
1778,"US","C for SPNIX3.3 - 1 Seat","C programming software for SPNIX V3.3 - single user"
1779,"US","C for SPNIX3.3 - Doc","C programming language documentation , SPNIX V3.3"
1780,"US","C for SPNIX3.3 - Sys","C programming software for SPNIX V3.3 - system compiler, libraries, linker"
2371,"US","C for SPNIX4.0 - Doc","C programming language documentation, SPNIX V4.0"
2423,"US","C for SPNIX4.0 - 1 Seat","C programming software for SPNIX V4.0 - single user"
3501,"US","C for SPNIX4.0 - Sys","C programming software for SPNIX V4.0 - system compiler, libraries, linker"
3502,"US","C for SPNIX3.3 -Sys/U","C programming software for SPNIX V3.3 - 4.0 Upgrade; system compiler, libraries, linker"
3503,"US","C for SPNIX3.3 - Seat/U","C programming software for SPNIX V3.3 - 4.0 Upgrade - single user"
1774,"US","Base ISO CP - BL","Base ISO Communication Package - Base License"
1775,"US","Client ISO CP - S","ISO Communication Package add-on license for additional SPNIX V3.3 client."
1794,"US","OSI 8-16/IL","OSI Layer 8 to 16 - Incremental License"
1825,"US","X25 - 1 Line License","X25 network access control system, single user"
2004,"US","IC Browser - S","IC Web Browser for SPNIX. Browser with network mail capability."
2005,"US","IC Browser Doc - S","Documentation set for IC Web Browser for SPNIX. Includes Installation Manual, Mail Server Administration Guide, and User Quick Reference."
2416,"US","Client ISO CP - S","ISO Communication Package add-on license for additional SPNIX V4.0 client."
2417,"US","Client ISO CP - V","ISO Communication Package add-on license for additional Vision client."
2449,"US","OSI 1-4/IL","OSI Layer 1 to 4 - Incremental License"
3101,"US","IC Browser - V","IC Web Browser for Vision with manual. Browser with network mail capability."
3170,"US","Smart Suite - V/SP","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for Vision. Spanish language software and user manuals."
3171,"US","Smart Suite - S3.3/EN","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for SPNIX Version 3.3. English language software and user manuals."
3172,"US","Graphics - DIK+","Software Kit Graphics: Draw-It Kwik-Plus. Includes extensive clip art files and advanced drawing tools for 3-D object manipulation, variable shading, and extended character fonts."
3173,"US","Graphics - SA","Software Kit Graphics: SmartArt. Professional graphics package for SPNIX with multiple line styles, textures, built-in shapes and common symbols."
3175,"US","Project Management - S4.0","Project Management Software, for SPNIX V4.0. Software includes command line and graphical interface with text, graphic, spreadsheet, and customizable report formats."
3176,"US","Smart Suite - V/EN","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for Vision. English language software and user manuals."
3177,"US","Smart Suite - V/FR","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for Vision. French language software and user manuals."
3245,"US","Smart Suite - S4.0/FR","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for SPNIX V4.0. French language software and user manuals."
3246,"US","Smart Suite - S4.0/SP","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for SPNIX V4.0. Spanish language software and user manuals."
3247,"US","Smart Suite - V/DE","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for Vision. German language software and user manuals."
3248,"US","Smart Suite - S4.0/DE","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for SPNIX V4.0. German language software and user manuals."
3250,"US","Graphics - DIK","Software Kit Graphics: Draw-It Kwik. Simple graphics package for Vision systems, with options to save in GIF, JPG, and BMP formats."
3251,"US","Project Management - V","Project Management Software, for Vision. Software includes command line and graphical interface with text, graphic, spreadsheet, and customizable report formats."
3252,"US","Project Management - S3.3","Project Management Software, for SPNIX V3.3. Software includes command line and graphical interface with text, graphic, spreadsheet, and customizable report formats."
3253,"US","Smart Suite - S4.0/EN","Office Suite (SmartWrite, SmartArt, SmartSpread, SmartBrowse) for SPNIX V4.0. English language software and user manuals."
3257,"US","Web Browser - SB/S 2.1","Software Kit Web Browser: SmartBrowse V2.1 for SPNIX V3.3. Includes context sensitive help files and online documentation."
3258,"US","Web Browser - SB/V 1.0","Software Kit Web Browser: SmartBrowse V2.1 for Vision. Includes context sensitive help files and online documentation."
